"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@zh_CN"  
"l10n_cn_fp_domestic","1","国内销售","1","1","base.cn","","","","","","国内销售"  
"l10n_cn_fp_export","2","出口销售","1","","","","l10n_cn_sales_excluded_3","l10n_cn_sales_excluded_0","","","出口销售"  
"","","","","","","","l10n_cn_sales_excluded_1","l10n_cn_sales_excluded_0","","",""  
"l10n_cn_fp_import","3","进口采购","1","","","","l10n_cn_purchase_excluded_3","l10n_cn_purchase_included_13","","","进口采购"  
"","","","","","","","l10n_cn_purchase_excluded_1","l10n_cn_purchase_included_9","","",""  
"","","","","","","","l10n_cn_purchase_excluded_0","l10n_cn_purchase_included_6","","",""  
"l10n_cn_fp_small_scale","4","小规模纳税人","1","1","base.cn","","l10n_cn_sales_excluded_3","l10n_cn_sales_excluded_1","","","小规模纳税人"  
"l10n_cn_fp_general_taxpayer","5","一般纳税人","1","1","base.cn","","l10n_cn_sales_excluded_1","l10n_cn_sales_excluded_3","","","一般纳税人"  
"l10n_cn_fp_tax_included","6","含税价格","0","0","","","l10n_cn_sales_excluded_3","l10n_cn_sales_included_3","","","含税价格"  
"","","","","","","","l10n_cn_sales_excluded_1","l10n_cn_sales_included_1","","",""  
"","","","","","","","l10n_cn_purchase_excluded_3","l10n_cn_purchase_included_13","","",""  
"","","","","","","","l10n_cn_purchase_excluded_1","l10n_cn_purchase_included_9","","",""  
"","","","","","","","l10n_cn_purchase_excluded_0","l10n_cn_purchase_included_6","","",""
