"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@zh_CN"  
"l10n_cn_fp_large_bis_domestic","1","大型企业国内销售","1","1","base.cn","","","","","","大型企业国内销售"  
"l10n_cn_fp_large_bis_export","2","大型企业出口销售","1","","","","l10n_cn_tax_large_bis_sales_excluded_3","l10n_cn_tax_large_bis_sales_excluded_0","","","大型企业出口销售"  
"","","","","","","","l10n_cn_tax_large_bis_sales_excluded_1","l10n_cn_tax_large_bis_sales_excluded_0","","",""  
"l10n_cn_fp_large_bis_import","3","大型企业进口采购","1","","","","l10n_cn_tax_large_bis_purchase_excluded_3","l10n_cn_tax_large_bis_purchase_included_13","","","大型企业进口采购"  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_1","l10n_cn_tax_large_bis_purchase_included_9","","",""  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_0","l10n_cn_tax_large_bis_purchase_included_6","","",""  
"l10n_cn_fp_large_bis_small_scale","4","大型企业小规模纳税人","1","1","base.cn","","l10n_cn_tax_large_bis_sales_excluded_3","l10n_cn_tax_large_bis_sales_excluded_1","","","大型企业小规模纳税人"  
"l10n_cn_fp_large_bis_general_taxpayer","5","大型企业一般纳税人","1","1","base.cn","","l10n_cn_tax_large_bis_sales_excluded_1","l10n_cn_tax_large_bis_sales_excluded_3","","","大型企业一般纳税人"  
"l10n_cn_fp_large_bis_tax_included","6","大型企业含税价格","0","0","","","l10n_cn_tax_large_bis_sales_excluded_3","l10n_cn_tax_large_bis_sales_included_3","","","大型企业含税价格"  
"","","","","","","","l10n_cn_tax_large_bis_sales_excluded_1","l10n_cn_tax_large_bis_sales_included_1","","",""  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_3","l10n_cn_tax_large_bis_purchase_included_3","","",""  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_1","l10n_cn_tax_large_bis_purchase_included_1","","",""  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_0","l10n_cn_tax_large_bis_purchase_included_6","","",""  
"l10n_cn_fp_large_bis_high_rate","7","大型企业高税率采购","0","0","","","l10n_cn_tax_large_bis_purchase_excluded_3","l10n_cn_tax_large_bis_purchase_included_13","","","大型企业高税率采购"  
"","","","","","","","l10n_cn_tax_large_bis_purchase_excluded_1","l10n_cn_tax_large_bis_purchase_included_9","","",""
