"id","name","description","invoice_label","amount","amount_type","type_tax_use","price_include","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_CN"  
"l10n_cn_sales_excluded_3","3%","VAT 3%","3%","3.0","percent","sale","False","l10n_cn_tax_group_vat_3","base","invoice","","增值税3%"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_sales_excluded_1","1%","VAT 1%","1%","1.0","percent","sale","False","l10n_cn_tax_group_vat_1","base","invoice","","增值税1%"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_sales_excluded_0","0%","VAT 0%","0%","0.0","percent","sale","False","l10n_cn_tax_group_vat_0","base","invoice","","免税0%"  
"","","","","","","","","","tax","invoice","",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","",""  
"l10n_cn_purchase_excluded_3","3%","VAT 3%","3%","3.0","percent","purchase","False","l10n_cn_tax_group_vat_3","base","invoice","","增值税3%"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_purchase_excluded_1","1%","VAT 1%","1%","1.0","percent","purchase","False","l10n_cn_tax_group_vat_1","base","invoice","","增值税1%"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_purchase_excluded_0","0%","VAT 0%","0%","0.0","percent","purchase","False","l10n_cn_tax_group_vat_0","base","invoice","","免税0%"  
"","","","","","","","","","tax","invoice","",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","",""  
"l10n_cn_sales_included_3","3% INC","VAT 3% (included)","3%","3.0","percent","sale","True","l10n_cn_tax_group_vat_3","base","invoice","","税收3% (含)"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_sales_included_1","1% INC","VAT 1% (included)","1%","1.0","percent","sale","True","l10n_cn_tax_group_vat_1","base","invoice","","税收1% (含)"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_purchase_included_13","13% INC","VAT 13% (included)","13%","13.0","percent","purchase","True","l10n_cn_tax_group_vat_13","base","invoice","","税收13% (含)"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_purchase_included_9","9% INC","VAT 9% (included)","9%","9.0","percent","purchase","True","l10n_cn_tax_group_vat_9","base","invoice","","税收9% (含)"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""  
"l10n_cn_purchase_included_6","6% INC","VAT 6% (included)","6%","6.0","percent","purchase","True","l10n_cn_tax_group_vat_6","base","invoice","","税收6% (含)"  
"","","","","","","","","","tax","invoice","l10n_cn_2221",""  
"","","","","","","","","","base","refund","",""  
"","","","","","","","","","tax","refund","l10n_cn_2221",""
